Index,Depth,PAD4[0],PAD4[1],PAD4[2],PAD4[3],PAD4[4],PAD4[5],PAD4[6],PAD4[7],PAD4[8],PAD4[9],PAD4[10],PAD4[11],PAD4[12],PAD4[13],PAD4[14],PAD4[15],PAD4[16],PAD4[17],PAD4[18],PAD4[19],PAD4[20],PAD4[21],PAD4[22],PAD4[23],PAD4[24]
1,504.0009155,470,509.8399963,491.2799988,515.9199829,491.2000122,543.6799927,472.3200073,532.4000244,448.7999878,500.0799866,483.519989,526.2399902,500.2399902,515.7600098,497.1199951,518.5599976,499.2799988,554.8800049,509.4400024,541.5999756,524.7199707,542.8800049,519.6799927,525.5200195,515.3599854
2,504.0034555,477.7600098,516.3200073,493.2000122,513.1199951,512.0800171,519.6799927,509.6799927,534.1599731,464.8800049,505.8399963,496.0799866,535.1199951,505.2799988,526.4799805,522.4799805,515.2000122,504.2399902,544.3200073,524.7199707,530.0800171,521.9199829,561.9199829,522.4799805,536.3200073,523.9199829
3,504.0059955,484.6400146,516.1599731,500.5599976,525.039978,519.5999756,505.519989,532.4000244,526.7999878,470.2399902,495.7600098,507.519989,524.8800049,520.0800171,524.8800049,537.2000122,521.9199829,539.2000122,531.039978,558.1599731,513.1199951,534.3200073,537.7600098,516.8800049,505.2000122,525.5200195
4,504.0085355,496.9599915,502.3200073,488,509.9200134,518.7999878,483.6000061,537.8400269,520.7199707,487.0400085,476.7200012,512.5599976,494.1600037,547.7600098,496.9599915,536.1599731,497.7600098,554.7199707,506.6400146,566.960022,487.7600098,552.0800171,512.3200073,544.8800049,501.6799927,554.4799805
5,504.0110755,508.8800049,482.0799866,508.5599976,507.7600098,505.6799927,470.7200012,519.8400269,491.6799927,507.1199951,472.480011,518.6400146,481.4400024,554.3200073,478.3200073,558.8800049,486.7999878,557.7600098,487.9200134,543.7600098,469.7600098,563.9199829,493.4400024,557.2000122,467.6000061,545.1199951
6,504.0136155,505.0400085,478.480011,516.8800049,527.9199829,497.6000061,471.7600098,512.2399902,493.519989,497.6799927,487.519989,506.480011,479.2799988,523.8400269,480.5599976,566.7999878,489.0400085,545.9199829,495.6000061,524.960022,491.0400085,555.7600098,505.2000122,549.4400024,467.7600098,545.9199829
7,504.0161555,489.0400085,480.8800049,486.7200012,508.3200073,483.6799927,482.1600037,506.3200073,491.2799988,477.2000122,489.2799988,471.9200134,480.480011,495.9200134,480,526.0800171,481.7600098,519.2800293,495.8399963,498.2399902,510.5599976,527.4400024,517.5200195,508.9599915,473.3599854,523.9199829
8,504.0186955,478.9599915,477.0400085,487.519989,513.1199951,481.2799988,484.5599976,481.9200134,504.8800049,473.6000061,507.519989,483.1199951,507.6000061,483.3599854,498,512.1599731,480,509.2000122,496.1600037,490.3200073,500.3200073,502.5599976,526.6400146,501.2799988,494.8800049,510.8800049
9,504.0212355,475.8399963,495.8399963,488.6400146,518,491.0400085,508.9599915,468.3200073,531.7600098,481.6799927,508.2399902,493.7600098,522.6400146,481.6799927,492.2399902,494.5599976,485.8399963,506.2399902,507.0400085,493.2799988,503.7600098,538.1599731,531.5200195,500.5599976,524.5599976,511.7600098
10,504.0237755,480.480011,498.5599976,487.4400024,516.2399902,494.1600037,523.1199951,465.2000122,532.6400146,480.1600037,501.519989,501.9200134,522.2399902,490.9599915,483.6799927,490.7200012,488.3999939,504.7200012,514,504.480011,484.2399902,542.0800171,524,512.4799805,513.2800293,525.6799927
11,504.0263155,472.3200073,467.8399963,476.0799866,487.6799927,495.7600098,505.2000122,487.6799927,519.6799927,493.2799988,499.6000061,512.960022,501.3599854,516.4000244,479.8399963,500.1600037,479.9200134,497.7600098,501.2799988,496.8800049,480.3999939,538.0800171,515.9199829,527.9199829,515.8400269,561.3599854
12,504.0288555,507.2799988,476.2399902,490.7200012,475.2000122,505.8399963,486.8800049,509.4400024,468.2399902,507.519989,497.1199951,521.039978,502.1600037,519.8400269,479.8399963,500.7200012,516.6400146,521.5999756,504.6400146,497.7600098,483.6000061,533.4400024,525.2000122,540.3200073,529.2000122,566.4799805
13,504.0313955,504.8800049,500.480011,489.7600098,510,518.960022,498.5599976,507.519989,464.3999939,507.7600098,507.6799927,513.039978,514,506.7200012,494.7200012,499.519989,535.4400024,514.2399902,485.3599854,497.4400024,476.6400146,516.1599731,546.960022,547.5200195,513.2800293,533.5999756
14,504.0339355,497.1199951,529.039978,437.9200134,520.1599731,496.6400146,508.5599976,480.2399902,498.3999939,487.6000061,508.8800049,500.7200012,521.039978,496.2399902,496.7999878,488.7999878,531.2000122,521.3599854,487.8399963,495.2799988,519.1199951,512.7199707,532.6400146,542.1599731,496.5599976,535.3599854
15,504.0364755,490.3999939,531.039978,431.2799988,533.5999756,479.9200134,505.8399963,458.7999878,510.7999878,469.8399963,501.2000122,504.3999939,513.039978,510.480011,496.0799866,501.2799988,515.039978,544.4000244,508.9599915,484.7200012,546.5599976,529.2000122,517.5200195,560.3200073,496.5599976,546.7999878
16,504.0390155,492.3200073,517.2000122,479.519989,548.7999878,484.2399902,497.4400024,460.3200073,508.6400146,465.6799927,507.2799988,502.3999939,500.0799866,512.2399902,512.7199707,532.7999878,497.2000122,546.7999878,516.7999878,460.3200073,528.7999878,540.6400146,506.6400146,550.0800171,487.8399963,532
17,504.0415555,512.7199707,498.0799866,491.8399963,526.1599731,500.3999939,495.4400024,478.5599976,511.2799988,478.3999939,497.9200134,520.8800049,507.7600098,516.2399902,508.8800049,536.6400146,495.0400085,553.3599854,512.7999878,467.3599854,487.2000122,537.1199951,511.2000122,541.5999756,488.3200073,524
