Index,Depth,PAD6[0],PAD6[1],PAD6[2],PAD6[3],PAD6[4],PAD6[5],PAD6[6],PAD6[7],PAD6[8],PAD6[9],PAD6[10],PAD6[11],PAD6[12],PAD6[13],PAD6[14],PAD6[15],PAD6[16],PAD6[17],PAD6[18],PAD6[19],PAD6[20],PAD6[21],PAD6[22],PAD6[23],PAD6[24]
1,504.0009155,415.1199951,408,467.2000122,406.7200012,480.5599976,434.3999939,459.6000061,463.8399963,450.3200073,423.519989,471.6799927,433.8399963,471.0400085,403.3599854,426.5599976,453.1199951,457.4400024,475.9200134,424,442.7200012,489.4400024,456.8800049,476.0799866,443.2000122,477.3599854
2,504.0034555,414.2399902,409.8399963,456.3200073,430,491.6799927,418.0799866,468.9599915,486.9599915,410.7999878,417.7600098,454.2399902,431.2799988,468.9599915,384.9599915,485.0400085,424.7999878,481.4400024,450.5599976,461.2799988,437.2000122,516.1599731,446.7999878,470.7999878,457.3599854,472.480011
3,504.0059955,437.1199951,433.8399963,420.3999939,461.2799988,472.6400146,447.3599854,458.7200012,488.7999878,406.2399902,423.2000122,446.1600037,447.0400085,474.8800049,439.6799927,491.9200134,447.1199951,504.6400146,460,479.1199951,449.8399963,497.9200134,439.6000061,447.0400085,436.1600037,431.9200134
4,504.0085355,417.8399963,436.7200012,387.6000061,467.3599854,428.5599976,441.7600098,453.1199951,485.3599854,439.2799988,436.7999878,433.6799927,446.0799866,428.480011,495.6799927,479.6000061,456.0799866,481.7600098,498.0799866,463.2799988,485.2799988,471.2000122,447.3599854,449.6799927,442.3200073,444.7999878
5,504.0110755,415.9200134,460.3200073,405.6000061,525.3599854,416.7999878,440.3999939,460.7999878,478.2399902,447.1199951,486.3999939,430.3999939,473.0400085,408.0799866,479.0400085,424.7200012,466.6400146,444.7200012,522.0800171,443.9200134,518,455.1199951,474.0799866,449.0400085,459.1199951,475.3599854
6,504.0136155,423.7600098,490.8800049,446.3999939,576.4799805,442.5599976,447.8399963,479.8399963,469.1199951,458.7999878,479.3599854,434.1600037,508.9599915,460.2399902,474.1600037,480.0799866,467.9200134,462.5599976,485.2799988,451.519989,495.6000061,468.8800049,479.8399963,451.519989,476.3200073,445.7600098
7,504.0161555,419.0400085,444.2399902,455.519989,507.2799988,444.3200073,445.519989,463.6000061,453.0400085,471.6799927,470.2399902,423.1199951,479.7600098,479.2000122,481.519989,514.0800171,462.5599976,480.2399902,456.8800049,507.2799988,460.1600037,487.2000122,476.3200073,462.8800049,469.519989,439.6799927
8,504.0186955,440.8800049,369.519989,484.8800049,444.7999878,484.3200073,466.9599915,442.2399902,450.8800049,500.1600037,491.2000122,449.6799927,480.6400146,500.0799866,498.8800049,500.5599976,484.7200012,502.7200012,445.6000061,529.6799927,441.9200134,511.6799927,465.1199951,480.3200073,448.7999878,484.7999878
9,504.0212355,512.4000244,370.1600037,521.5999756,434.5599976,521.3599854,464.8800049,436.480011,459.7600098,495.2799988,466.480011,469.4400024,478.9599915,502.2399902,404,475.6799927,459.8399963,498.480011,446.9599915,468.3200073,454.7999878,523.7600098,461.4400024,490.2399902,444.0799866,524.7999878
10,504.0237755,479.0400085,421.2799988,471.7600098,460.8800049,464.8800049,458.8800049,449.3599854,450.9599915,439.8399963,457.519989,486.8800049,481.6799927,492.1600037,399.8399963,491.6000061,455.9200134,470.0799866,471.2000122,448.7999878,464.8800049,476.0799866,473.4400024,495.4400024,455.2000122,514.2399902
11,504.0263155,359.2000122,456.6400146,403.0400085,535.3599854,429.6799927,453.2000122,484.7200012,465.0400085,461.2000122,471.2000122,498.3999939,458.2399902,488.1600037,451.3599854,505.1199951,464.0799866,469.9200134,463.4400024,422.1600037,484.7999878,472.8800049,481.3599854,472.1600037,472.5599976,466.7200012
12,504.0288555,385.8399963,506.1600037,388.1600037,573.9199829,447.3599854,462.7200012,471.9200134,458.3999939,450.6400146,454.2399902,482.6400146,453.1199951,467.4400024,466.3200073,425.6799927,486.0799866,477.1199951,495.9200134,434.8800049,488.1600037,477.2799988,498.5599976,458.7200012,504.6400146,461.0400085
13,504.0313955,428.7200012,541.6799927,442,493.2799988,482.7200012,458.7200012,438.7200012,471.2000122,474.5599976,465.9200134,453.4400024,462.1600037,476.480011,452.5599976,428.7999878,475.6799927,482.6400146,534.4799805,464.480011,482.3999939,488.3200073,511.3599854,483.8399963,489.6000061,476.8800049
14,504.0339355,425.3599854,484.1600037,526.960022,438,509.0400085,442.9599915,448.2399902,458.0799866,470.1600037,443.6799927,454.7999878,439.6799927,469.7600098,424.7200012,467.1199951,461.4400024,492.7999878,477.6799927,474.480011,452.0799866,502.5599976,474.2399902,516.2399902,461.2799988,475.8399963
15,504.0364755,442.6400146,420.8800049,565.6799927,417.519989,516.1599731,424.8800049,444.3200073,423.3599854,472.480011,420.9599915,454,446.1600037,474.6400146,406.3999939,487.4400024,451.8399963,518.4000244,427.1199951,493.4400024,431.2799988,514.6400146,468,564.0800171,443.3599854,479.2799988
16,504.0390155,479.9200134,396,558.8800049,428.1600037,481.519989,404.7999878,448,428.2399902,492.1600037,448.8800049,439.8399963,458.8800049,476.2399902,424.1600037,495.2000122,449.4400024,530.4000244,419.519989,523.6799927,438.7999878,521.2000122,442.7200012,543.5200195,423.0400085,478.9599915
17,504.0415555,502.3200073,407.8399963,479.6799927,411.8399963,447.9200134,408.0799866,453.6000061,426.7200012,480.3999939,430.3200073,449.519989,479.7600098,458.5599976,418.9599915,463.2799988,437.1199951,514.0800171,419.1199951,520.2399902,418,497.2799988,418.9599915,531.5999756,387.2799988,484.5599976
18,504.0440955,419.8399963,414.5599976,401.1199951,417.7600098,412.9599915,402.7200012,420.3999939,422,409.3599854,398.6400146,433.2799988,430.5599976,440.0799866,431.9200134,449.4400024,390.6400146,444.9599915,418.2399902,449.4400024,374.1600037,447.7600098,273.1199951,472.480011,246.1600037,453.2000122
19,504.0466355,415.6799927,429.6799927,407.6799927,452.7999878,412.7200012,427.2799988,428.7200012,434.2399902,416.6400146,401.6000061,463.8399963,423.6000061,466.9599915,431.0400085,452.7999878,413.8399963,447.2000122,434.7200012,429.519989,406.1600037,440.7200012,331.6000061,451.4400024,281.6799927,428.5599976
20,504.0491755,405.4400024,442.480011,405.2000122,528.4799805,407.3599854,483.519989,410,448.2399902,409.8399963,434.7200012,439.6799927,435.2000122,470.8800049,420.9599915,433.2799988,425.7600098,424.3200073,440.2399902,402.7200012,436.1600037,377.1199951,441.4400024,317.0400085,421.8399963,396.9599915
21,504.0517155,415.6799927,442.8800049,416.480011,525.2000122,404.8800049,477.3599854,413.3599854,469.0400085,405.7600098,450.480011,419.3599854,452,447.6799927,434.3999939,428.0799866,411.4400024,401.0400085,411.3599854,408.9599915,442.2399902,335.2799988,467.6799927,221.1199951,463.1199951,340.6400146
22,504.0542555,433.6799927,448.0799866,435.3599854,476.3200073,447.6799927,437.1199951,429.6799927,461.0400085,415.1199951,444.9599915,414.3200073,449.6000061,432.0799866,438.480011,448.2399902,422.7999878,430.3200073,406.6400146,441.6799927,460.8800049,388.8800049,461.2799988,290.480011,433.2799988,347.3599854
23,504.0567955,433.8399963,448.6400146,473.4400024,470.8800049,538.4799805,440,446.7200012,454.480011,427.3599854,424.7200012,429.2000122,449.7600098,435.2000122,447.7600098,449.6000061,438.1600037,452,477.7600098,449.2000122,480.9599915,448.3200073,446.8800049,432.5599976,411.6799927,423.3599854
24,504.0593355,438.480011,454.3200073,481.8399963,475.2799988,538.7199707,474.3200073,445.4400024,461.519989,465.4400024,450,456.3200073,460.5599976,443.7600098,452,451.1199951,465.3599854,418.3200073,521.6799927,433.9200134,522.6400146,479.9200134,442.2399902,491.9200134,415.6799927,472.480011
25,504.0618755,457.6799927,464.5599976,454.6400146,458.1600037,462.6400146,471.8399963,436.5599976,472.0799866,445.4400024,441.519989,461.2799988,473.2799988,446.6400146,430.1600037,442.5599976,455.2799988,394.6400146,479.1199951,439.3599854,504.7999878,482,449.2000122,483.3599854,418.7999878,469.6000061
26,504.0644155,449.8399963,468.1600037,446.3999939,454.8800049,451.6000061,486,425.0400085,459.3599854,441.4400024,454.480011,452,470.2399902,458.2399902,440.3999939,447.8399963,447.8399963,445.9200134,426.3999939,480.3200073,436.8800049,490.7999878,453.2000122,430.0799866,432.3200073,470.480011
